start_time,end_time,duration_hours,sleep_stage
2026-01-09 01:41:05 -0800,2026-01-09 01:43:05 -0800,0.0333,Core Sleep
2026-01-09 01:43:05 -0800,2026-01-09 01:49:04 -0800,0.0997,Deep Sleep
2026-01-09 01:49:04 -0800,2026-01-09 01:49:34 -0800,0.0083,Awake
2026-01-09 01:49:34 -0800,2026-01-09 01:55:33 -0800,0.0997,Core Sleep
2026-01-09 01:55:33 -0800,2026-01-09 01:56:02 -0800,0.0081,Deep Sleep
2026-01-09 01:56:02 -0800,2026-01-09 01:58:32 -0800,0.0417,Core Sleep
2026-01-09 01:58:32 -0800,2026-01-09 02:08:30 -0800,0.1661,Deep Sleep
2026-01-09 02:08:30 -0800,2026-01-09 02:09:30 -0800,0.0167,Core Sleep
2026-01-09 02:09:30 -0800,2026-01-09 02:20:57 -0800,0.1908,REM Sleep
2026-01-09 02:20:57 -0800,2026-01-09 02:34:55 -0800,0.2328,Core Sleep
2026-01-09 02:34:55 -0800,2026-01-09 02:53:51 -0800,0.3156,Deep Sleep
2026-01-09 02:53:51 -0800,2026-01-09 02:56:50 -0800,0.0497,Awake
2026-01-09 02:56:50 -0800,2026-01-09 03:04:49 -0800,0.1331,Core Sleep
2026-01-09 03:04:49 -0800,2026-01-09 03:07:18 -0800,0.0414,Awake
2026-01-09 03:07:18 -0800,2026-01-09 03:41:11 -0800,0.5647,Core Sleep
2026-01-09 03:41:11 -0800,2026-01-09 03:44:11 -0800,0.0500,Deep Sleep
2026-01-09 03:44:11 -0800,2026-01-09 03:58:08 -0800,0.2325,Core Sleep
2026-01-09 03:58:08 -0800,2026-01-09 04:22:03 -0800,0.3986,REM Sleep
2026-01-09 04:22:03 -0800,2026-01-09 04:27:32 -0800,0.0914,Awake
2026-01-09 04:27:32 -0800,2026-01-09 04:54:56 -0800,0.4567,Core Sleep
2026-01-09 04:54:56 -0800,2026-01-09 05:00:55 -0800,0.0997,Deep Sleep
2026-01-09 05:00:55 -0800,2026-01-09 05:07:24 -0800,0.1081,Core Sleep
2026-01-09 05:07:24 -0800,2026-01-09 05:19:51 -0800,0.2075,Deep Sleep
2026-01-09 05:19:51 -0800,2026-01-09 05:36:18 -0800,0.2742,Core Sleep
2026-01-09 05:36:18 -0800,2026-01-09 05:57:44 -0800,0.3572,REM Sleep
2026-01-09 05:57:44 -0800,2026-01-09 06:05:42 -0800,0.1328,Core Sleep
2026-01-09 06:05:42 -0800,2026-01-09 06:08:42 -0800,0.0500,REM Sleep
2026-01-09 06:08:42 -0800,2026-01-09 06:11:41 -0800,0.0497,Core Sleep
2026-01-09 06:11:41 -0800,2026-01-09 06:14:10 -0800,0.0414,REM Sleep
2026-01-09 06:14:10 -0800,2026-01-09 06:33:37 -0800,0.3242,Core Sleep
2026-01-09 06:33:37 -0800,2026-01-09 07:00:01 -0800,0.4400,REM Sleep
2026-01-09 07:00:01 -0800,2026-01-09 07:29:26 -0800,0.4903,Core Sleep
2026-01-11 02:01:04 -0800,2026-01-11 02:17:31 -0800,0.2742,Core Sleep
2026-01-11 02:17:31 -0800,2026-01-11 02:25:59 -0800,0.1411,Deep Sleep
2026-01-11 02:25:59 -0800,2026-01-11 02:28:58 -0800,0.0497,Core Sleep
2026-01-11 02:28:58 -0800,2026-01-11 02:56:23 -0800,0.4569,Deep Sleep
2026-01-11 02:56:23 -0800,2026-01-11 03:21:48 -0800,0.4236,Core Sleep
